epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.333,1.23867,1.95649,1.10759,0.93016,0.85796,0.94161,0.64866,1.05871,1.71936,1.04066,0.000662005,0.000662005,0.000662005
2,206.848,1.2102,1.2883,1.11624,0.79895,0.8773,0.8889,0.55485,1.17806,1.68061,1.1222,0.00130236,0.00130236,0.00130236
3,307.281,1.18361,1.11293,1.10217,0.93481,0.91718,0.95888,0.67211,1.0507,1.07902,1.04851,0.00191632,0.00191632,0.00191632
4,405.773,1.17761,1.01257,1.09517,0.89028,0.91104,0.93828,0.64781,1.06531,1.21604,1.07684,0.0018812,0.0018812,0.0018812
5,503.311,1.12219,0.89427,1.07861,0.91051,0.91718,0.94672,0.6718,1.03549,0.92807,1.02709,0.0018416,0.0018416,0.0018416
6,602.769,1.09713,0.86457,1.06081,0.95093,0.93252,0.98044,0.70981,0.96452,0.74743,1.00961,0.001802,0.001802,0.001802
7,701.762,1.07761,0.80081,1.05126,0.98045,0.92291,0.98138,0.68799,0.98828,0.69731,1.01346,0.0017624,0.0017624,0.0017624
8,802.054,1.0452,0.73339,1.03032,0.91992,0.95138,0.97287,0.71479,0.98563,0.74307,1.06488,0.0017228,0.0017228,0.0017228
9,901.289,1.02448,0.71766,1.04465,0.92257,0.96319,0.97622,0.69521,1.01415,0.66366,1.02451,0.0016832,0.0016832,0.0016832
10,1001.12,0.99893,0.68645,1.01276,0.94337,0.91975,0.97192,0.73782,0.94019,0.65458,1.00344,0.0016436,0.0016436,0.0016436
11,1099.82,1.00558,0.67466,1.0106,0.96481,0.96626,0.98688,0.74981,0.88121,0.60732,0.97844,0.001604,0.001604,0.001604
12,1199.42,0.99442,0.66808,1.02377,0.95441,0.97546,0.97904,0.75751,0.87423,0.58403,0.97645,0.0015644,0.0015644,0.0015644
13,1297.97,0.99903,0.65907,1.01232,0.96319,0.96329,0.98046,0.73257,0.92948,0.61076,0.97403,0.0015248,0.0015248,0.0015248
14,1396.89,0.97963,0.64636,1.00965,0.97832,0.96881,0.99031,0.73803,0.93528,0.5696,0.98915,0.0014852,0.0014852,0.0014852
15,1494.95,0.97479,0.64516,1.00484,0.97242,0.97321,0.98976,0.75206,0.88517,0.58768,0.98931,0.0014456,0.0014456,0.0014456
16,1595.03,0.95409,0.62051,0.99555,0.98067,0.97239,0.98944,0.78141,0.83006,0.53582,0.94882,0.001406,0.001406,0.001406
17,1695.78,0.95402,0.61883,0.99623,0.96885,0.97546,0.98897,0.78277,0.82193,0.51463,0.95325,0.0013664,0.0013664,0.0013664
18,1800.24,0.92982,0.61928,1.00448,0.97685,0.95706,0.9876,0.77402,0.82365,0.54929,0.94869,0.0013268,0.0013268,0.0013268
