epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.664,3.395,26.9638,1.98996,0.06683,0.17308,0.03186,0.01034,2.65246,17.7466,1.43961,0.00014,0.00014,0.00014
2,216.65,2.57288,4.48621,1.29243,0.12003,0.48077,0.07525,0.02936,2.05843,22.6627,1.11664,0.00029406,0.00029406,0.00029406
3,442.821,2.39,2.26467,1.12066,0.07902,0.59615,0.06005,0.02431,2.1045,44.4817,1.10712,0.000441784,0.000441784,0.000441784
4,656.541,2.07088,1.91848,1.0313,0.08382,0.5683,0.05817,0.0232,2.07718,27.8869,1.08939,0.000583172,0.000583172,0.000583172
5,872.857,1.99992,1.54472,0.99884,0.01107,0.38462,0.00784,0.00287,2.13411,85.7153,1.09374,0.000718224,0.000718224,0.000718224
6,1127.95,2.00431,1.30004,1.07271,0.0188,0.53846,0.01355,0.00456,2.23872,45.7678,1.07116,0.00084694,0.00084694,0.00084694
7,1380.19,2.20074,1.42669,1.07758,0.45589,0.51923,0.41185,0.14947,2.12671,3.94203,1.05491,0.00096932,0.00096932,0.00096932
8,1596.94,2.21616,1.38305,1.05587,0.64673,0.5282,0.51624,0.22763,2.11365,1.63219,1.07751,0.00108536,0.00108536,0.00108536
9,1861.82,2.05028,1.20335,1.05882,0.58819,0.54945,0.57056,0.2708,2.02473,1.55128,1.09449,0.00119507,0.00119507,0.00119507
10,2052.04,2.09321,1.20826,1.00424,0.45878,0.46154,0.37166,0.11108,2.32436,1.47516,1.13419,0.00129844,0.00129844,0.00129844
11,2166.94,1.92223,1.11279,1.01692,0.72751,0.38462,0.41362,0.18547,2.39456,1.68631,1.16211,0.00139548,0.00139548,0.00139548
12,2225.29,1.84937,1.07027,0.98069,0.67581,0.44231,0.4561,0.19246,2.3139,1.5639,1.13778,0.00148618,0.00148618,0.00148618
13,2275.59,1.85213,1.03826,0.98213,0.65665,0.5,0.52806,0.20942,2.40004,1.45868,1.16704,0.0015248,0.0015248,0.0015248
14,2325.58,1.9648,1.09851,1.03664,0.7579,0.59615,0.63681,0.2462,2.12229,1.26266,1.09005,0.0014852,0.0014852,0.0014852
15,2375.96,1.86101,1.06075,1.02023,0.71459,0.53846,0.58249,0.24663,2.01148,1.36919,1.08262,0.0014456,0.0014456,0.0014456
16,2426.16,1.8491,1.06566,0.98536,0.57997,0.53846,0.54764,0.26984,1.99223,1.41597,1.05846,0.001406,0.001406,0.001406
17,2476.94,1.81759,1.01735,0.98777,0.59571,0.48077,0.53335,0.25667,1.98662,1.3789,1.04457,0.0013664,0.0013664,0.0013664
18,2526.99,1.79086,0.96663,0.99936,0.70762,0.61538,0.6273,0.30241,1.8697,1.32419,1.02981,0.0013268,0.0013268,0.0013268
19,2577.42,1.6485,0.90616,0.97923,0.65035,0.57692,0.59693,0.28863,1.99921,1.31613,1.05713,0.0012872,0.0012872,0.0012872
20,2627.54,1.69448,0.90074,0.97835,0.79101,0.61538,0.65635,0.32058,1.93436,1.22464,1.01786,0.0012476,0.0012476,0.0012476
